"Cancer","Gene","cosine"
"Liver cancer","TGFB1",0.0117840997198021
"Stomach cancer","PLAUR",0.0117726860481094
"Bile duct cancer","ECE2",0.0117612622833478
"Bile duct cancer","EPPK1",0.0117612622833478
"Pancreatic Cancer","ALOX5",0.0117569977816059
"Colorectal cancer","ARNT",0.0117430923915268
"Colorectal cancer","VIM",0.0117350360162513
"Stomach cancer","TRDMT1",0.0117107088882133
"Stomach cancer","NMS",0.0116959900441915
"Liver cancer","MDM2",0.0116809238945477
"Pancreatic Cancer","PCK2",0.0116740290201451
"Colorectal cancer","CTSB",0.0116704730555281
"Pancreatic Cancer","ABCC5",0.0116694543255415
"Colorectal cancer","MMP2",0.0116671752400045
"Bile duct cancer","VIM",0.0116500439432088
"Bile duct cancer","ROS1",0.0116431981373313
"Stomach cancer","PTGS2",0.0116431566207419
"Bile duct cancer","TLK1",0.0116320176428714
"Bile duct cancer","GGH",0.0116320176428714
"Stomach cancer","PDGFB",0.0116318767551703
"Liver cancer","SOCS1",0.0115912032120858
"Esophageal cancer","PIR",0.0115852119544492
"Stomach cancer","RPL15",0.0115778626877119
"Pancreatic Cancer","OAZ1",0.0115524245511852
"Pancreatic Cancer","MCPH1",0.0115524245511852
"Pancreatic Cancer","BRCA1",0.0115508104984429
"Stomach cancer","DICER1",0.0115455476838952
"Pancreatic Cancer","MIR483",0.0115346378977553
"Bile duct cancer","POR",0.0115213373475293
"Stomach cancer","CCNE1",0.0115197626302028
"Stomach cancer","TGFB1",0.0115169215493269
"Stomach cancer","CHFR",0.0115123762451779
"Stomach cancer","RASGRF1",0.0114934011577702
"Stomach cancer","DAPK3",0.0114934011577702
"Pancreatic Cancer","INS",0.0114688379634307
"Liver cancer","GLA",0.0114604369876331
"Esophageal cancer","BMP1",0.0114455085999094
"Pancreatic Cancer","DYRK1B",0.0114357562768211
"Liver cancer","DLC1",0.0114273541446654
"Colorectal cancer","CSF2RB",0.0114236472171471
